 Hertz,Farad,V across C
        250.40000000,    .000001262471524,        540.70787493
        250.76000000,    .000001258849228,        541.48525047
        251.12000000,    .000001255242499,        542.26262601
        251.48000000,    .000001251651248,        543.04000155
        251.84000000,    .000001248075387,        543.81737709
        252.20000000,    .000001244514829,        544.59475263
        252.56000000,    .000001240969485,        545.37212817
        252.92000000,    .000001237439269,        546.14950371
        253.28000000,    .000001233924096,        546.92687925
        253.64000000,    .000001230423880,        547.70425479
        254.00000000,    .000001226938535,        548.48163032
        254.36000000,    .000001223467980,        549.25900586
        254.72000000,    .000001220012128,        550.03638140
        255.08000000,    .000001216570899,        550.81375694
        255.44000000,    .000001213144208,        551.59113248
        255.80000000,    .000001209731975,        552.36850802
        256.16000000,    .000001206334118,        553.14588356
        256.52000000,    .000001202950557,        553.92325910
        256.88000000,    .000001199581212,        554.70063464
        257.24000000,    .000001196226002,        555.47801018
        257.60000000,    .000001192884850,        556.25538572
        257.96000000,    .000001189557676,        557.03276125
        258.32000000,    .000001186244403,        557.81013679
        258.68000000,    .000001182944953,        558.58751233
        259.04000000,    .000001179659250,        559.36488787
        259.40000000,    .000001176387217,        560.14226341
        259.76000000,    .000001173128779,        560.91963895
        260.12000000,    .000001169883860,        561.69701449
        260.48000000,    .000001166652386,        562.47439003
        260.84000000,    .000001163434283,        563.25176557
        261.20000000,    .000001160229477,        564.02914111
        261.56000000,    .000001157037894,        564.80651664
        261.92000000,    .000001153859463,        565.58389218
        262.28000000,    .000001150694110,        566.36126772
        262.64000000,    .000001147541765,        567.13864326
        263.00000000,    .000001144402356,        567.91601880
        263.36000000,    .000001141275812,        568.69339434
        263.72000000,    .000001138162064,        569.47076988
        264.08000000,    .000001135061041,        570.24814542
        264.44000000,    .000001131972674,        571.02552096
        264.80000000,    .000001128896895,        571.80289650
        265.16000000,    .000001125833635,        572.58027204
        265.52000000,    .000001122782827,        573.35764757
        265.88000000,    .000001119744402,        574.13502311
        266.24000000,    .000001116718294,        574.91239865
        266.60000000,    .000001113704437,        575.68977419
        266.96000000,    .000001110702765,        576.46714973
        267.32000000,    .000001107713211,        577.24452527
        267.68000000,    .000001104735711,        578.02190081
        268.04000000,    .000001101770200,        578.79927635
        268.40000000,    .000001098816614,        579.57665189
        268.76000000,    .000001095874888,        580.35402743
        269.12000000,    .000001092944961,        581.13140296
        269.48000000,    .000001090026767,        581.90877850
        269.84000000,    .000001087120246,        582.68615404
        270.20000000,    .000001084225334,        583.46352958
        270.56000000,    .000001081341970,        584.24090512
        270.92000000,    .000001078470093,        585.01828066
        271.28000000,    .000001075609642,        585.79565620
        271.64000000,    .000001072760556,        586.57303174
        272.00000000,    .000001069922775,        587.35040728
        272.36000000,    .000001067096239,        588.12778282
        272.72000000,    .000001064280889,        588.90515836
        273.08000000,    .000001061476666,        589.68253389
        273.44000000,    .000001058683512,        590.45990943
        273.80000000,    .000001055901368,        591.23728497
        274.16000000,    .000001053130177,        592.01466051
        274.52000000,    .000001050369880,        592.79203605
        274.88000000,    .000001047620422,        593.56941159
        275.24000000,    .000001044881745,        594.34678713
        275.60000000,    .000001042153793,        595.12416267
        275.96000000,    .000001039436511,        595.90153821
        276.32000000,    .000001036729842,        596.67891375
        276.68000000,    .000001034033731,        597.45628928
        277.04000000,    .000001031348124,        598.23366482
        277.40000000,    .000001028672966,        599.01104036
        277.76000000,    .000001026008203,        599.78841590
        278.12000000,    .000001023353782,        600.56579144
        278.48000000,    .000001020709647,        601.34316698
        278.84000000,    .000001018075748,        602.12054252
        279.20000000,    .000001015452030,        602.89791806
        279.56000000,    .000001012838442,        603.67529360
        279.92000000,    .000001010234931,        604.45266914
        280.28000000,    .000001007641446,        605.23004468
        280.64000000,    .000001005057935,        606.00742021
        281.00000000,    .000001002484347,        606.78479575
        281.36000000,    .000000999920632,        607.56217129
