 Hz,vind,vres
         96.00000000,           .01372302,           .31638493
         96.40000000,           .01372313,           .31770320
         96.80000000,           .01372324,           .31902147
         97.20000000,           .01372334,           .32033974
         97.60000000,           .01372344,           .32165801
         98.00000000,           .01372354,           .32297628
         98.40000000,           .01372364,           .32429455
         98.80000000,           .01372374,           .32561282
         99.20000000,           .01372384,           .32693109
         99.60000000,           .01372394,           .32824936
        100.00000000,           .01372403,           .32956763
        100.40000000,           .01372413,           .33088590
        100.80000000,           .01372422,           .33220417
        101.20000000,           .01372432,           .33352244
        101.60000000,           .01372441,           .33484071
        102.00000000,           .01372450,           .33615898
        102.40000000,           .01372459,           .33747725
        102.80000000,           .01372467,           .33879553
        103.20000000,           .01372476,           .34011380
        103.60000000,           .01372485,           .34143207
        104.00000000,           .01372493,           .34275034
        104.40000000,           .01372502,           .34406861
        104.80000000,           .01372510,           .34538688
        105.20000000,           .01372518,           .34670515
        105.60000000,           .01372526,           .34802342
        106.00000000,           .01372534,           .34934169
        106.40000000,           .01372542,           .35065996
        106.80000000,           .01372550,           .35197823
        107.20000000,           .01372558,           .35329650
        107.60000000,           .01372566,           .35461477
        108.00000000,           .01372573,           .35593304
        108.40000000,           .01372581,           .35725131
        108.80000000,           .01372588,           .35856958
        109.20000000,           .01372596,           .35988785
        109.60000000,           .01372603,           .36120612
        110.00000000,           .01372610,           .36252439
        110.40000000,           .01372617,           .36384267
        110.80000000,           .01372624,           .36516094
        111.20000000,           .01372631,           .36647921
        111.60000000,           .01372638,           .36779748
        112.00000000,           .01372645,           .36911575
        112.40000000,           .01372652,           .37043402
        112.80000000,           .01372658,           .37175229
        113.20000000,           .01372665,           .37307056
        113.60000000,           .01372671,           .37438883
        114.00000000,           .01372678,           .37570710
        114.40000000,           .01372684,           .37702537
        114.80000000,           .01372691,           .37834364
        115.20000000,           .01372697,           .37966191
        115.60000000,           .01372703,           .38098018
        116.00000000,           .01372709,           .38229845
        116.40000000,           .01372715,           .38361672
        116.80000000,           .01372721,           .38493499
        117.20000000,           .01372727,           .38625326
        117.60000000,           .01372733,           .38757153
        118.00000000,           .01372739,           .38888981
        118.40000000,           .01372745,           .39020808
        118.80000000,           .01372750,           .39152635
        119.20000000,           .01372756,           .39284462
        119.60000000,           .01372762,           .39416289
        120.00000000,           .01372767,           .39548116
        120.40000000,           .01372773,           .39679943
        120.80000000,           .01372778,           .39811770
        121.20000000,           .01372784,           .39943597
        121.60000000,           .01372789,           .40075424
        122.00000000,           .01372794,           .40207251
        122.40000000,           .01372799,           .40339078
        122.80000000,           .01372804,           .40470905
        123.20000000,           .01372810,           .40602732
        123.60000000,           .01372815,           .40734559
        124.00000000,           .01372820,           .40866386
        124.40000000,           .01372825,           .40998213
        124.80000000,           .01372830,           .41130040
        125.20000000,           .01372834,           .41261867
        125.60000000,           .01372839,           .41393695
        126.00000000,           .01372844,           .41525522
        126.40000000,           .01372849,           .41657349
        126.80000000,           .01372854,           .41789176
        127.20000000,           .01372858,           .41921003
        127.60000000,           .01372863,           .42052830
        128.00000000,           .01372867,           .42184657
        128.40000000,           .01372872,           .42316484
        128.80000000,           .01372876,           .42448311
        129.20000000,           .01372881,           .42580138
        129.60000000,           .01372885,           .42711965
        130.00000000,           .01372890,           .42843792
        130.40000000,           .01372894,           .42975619
        130.80000000,           .01372898,           .43107446
        131.20000000,           .01372902,           .43239273
        131.60000000,           .01372907,           .43371100
        132.00000000,           .01372911,           .43502927
        132.40000000,           .01372915,           .43634754
        132.80000000,           .01372919,           .43766581
        133.20000000,           .01372923,           .43898409
        133.60000000,           .01372927,           .44030236
        134.00000000,           .01372931,           .44162063
        134.40000000,           .01372935,           .44293890
        134.80000000,           .01372939,           .44425717
        135.20000000,           .01372943,           .44557544
        135.60000000,           .01372947,           .44689371
        136.00000000,           .01372950,           .44821198
        136.40000000,           .01372954,           .44953025
        136.80000000,           .01372958,           .45084852
        137.20000000,           .01372962,           .45216679
        137.60000000,           .01372965,           .45348506
        138.00000000,           .01372969,           .45480333
        138.40000000,           .01372973,           .45612160
        138.80000000,           .01372976,           .45743987
        139.20000000,           .01372980,           .45875814
        139.60000000,           .01372983,           .46007641
        140.00000000,           .01372987,           .46139468
        140.40000000,           .01372990,           .46271295
        140.80000000,           .01372994,           .46403123
        141.20000000,           .01372997,           .46534950
        141.60000000,           .01373000,           .46666777
        142.00000000,           .01373004,           .46798604
        142.40000000,           .01373007,           .46930431
        142.80000000,           .01373010,           .47062258
        143.20000000,           .01373014,           .47194085
        143.60000000,           .01373017,           .47325912
        144.00000000,           .01373020,           .47457739
        144.40000000,           .01373023,           .47589566
        144.80000000,           .01373026,           .47721393
        145.20000000,           .01373029,           .47853220
        145.60000000,           .01373033,           .47985047
        146.00000000,           .01373036,           .48116874
        146.40000000,           .01373039,           .48248701
        146.80000000,           .01373042,           .48380528
        147.20000000,           .01373045,           .48512355
        147.60000000,           .01373048,           .48644182
        148.00000000,           .01373051,           .48776009
        148.40000000,           .01373054,           .48907837
        148.80000000,           .01373056,           .49039664
        149.20000000,           .01373059,           .49171491
        149.60000000,           .01373062,           .49303318
        150.00000000,           .01373065,           .49435145
        150.40000000,           .01373068,           .49566972
        150.80000000,           .01373071,           .49698799
        151.20000000,           .01373073,           .49830626
        151.60000000,           .01373076,           .49962453
        152.00000000,           .01373079,           .50094280
        152.40000000,           .01373082,           .50226107
        152.80000000,           .01373084,           .50357934
        153.20000000,           .01373087,           .50489761
        153.60000000,           .01373090,           .50621588
        154.00000000,           .01373092,           .50753415
        154.40000000,           .01373095,           .50885242
        154.80000000,           .01373097,           .51017069
        155.20000000,           .01373100,           .51148896
        155.60000000,           .01373102,           .51280723
        156.00000000,           .01373105,           .51412551
        156.40000000,           .01373107,           .51544378
        156.80000000,           .01373110,           .51676205
        157.20000000,           .01373112,           .51808032
        157.60000000,           .01373115,           .51939859
        158.00000000,           .01373117,           .52071686
        158.40000000,           .01373120,           .52203513
        158.80000000,           .01373122,           .52335340
        159.20000000,           .01373124,           .52467167
        159.60000000,           .01373127,           .52598994
        160.00000000,           .01373129,           .52730821
        160.40000000,           .01373131,           .52862648
        160.80000000,           .01373134,           .52994475
        161.20000000,           .01373136,           .53126302
        161.60000000,           .01373138,           .53258129
        162.00000000,           .01373141,           .53389956
        162.40000000,           .01373143,           .53521783
        162.80000000,           .01373145,           .53653610
        163.20000000,           .01373147,           .53785437
        163.60000000,           .01373149,           .53917265
        164.00000000,           .01373152,           .54049092
        164.40000000,           .01373154,           .54180919
        164.80000000,           .01373156,           .54312746
        165.20000000,           .01373158,           .54444573
        165.60000000,           .01373160,           .54576400
        166.00000000,           .01373162,           .54708227
        166.40000000,           .01373164,           .54840054
        166.80000000,           .01373166,           .54971881
        167.20000000,           .01373168,           .55103708
        167.60000000,           .01373170,           .55235535
        168.00000000,           .01373172,           .55367362
        168.40000000,           .01373174,           .55499189
        168.80000000,           .01373176,           .55631016
        169.20000000,           .01373178,           .55762843
        169.60000000,           .01373180,           .55894670
        170.00000000,           .01373182,           .56026497
        170.40000000,           .01373184,           .56158324
        170.80000000,           .01373186,           .56290151
        171.20000000,           .01373188,           .56421979
        171.60000000,           .01373190,           .56553806
        172.00000000,           .01373192,           .56685633
        172.40000000,           .01373194,           .56817460
        172.80000000,           .01373196,           .56949287
        173.20000000,           .01373197,           .57081114
        173.60000000,           .01373199,           .57212941
        174.00000000,           .01373201,           .57344768
        174.40000000,           .01373203,           .57476595
        174.80000000,           .01373205,           .57608422
        175.20000000,           .01373206,           .57740249
        175.60000000,           .01373208,           .57872076
        176.00000000,           .01373210,           .58003903
        176.40000000,           .01373212,           .58135730
        176.80000000,           .01373213,           .58267557
        177.20000000,           .01373215,           .58399384
        177.60000000,           .01373217,           .58531211
        178.00000000,           .01373219,           .58663038
        178.40000000,           .01373220,           .58794865
        178.80000000,           .01373222,           .58926693
        179.20000000,           .01373224,           .59058520
        179.60000000,           .01373225,           .59190347
        180.00000000,           .01373227,           .59322174
        180.40000000,           .01373229,           .59454001
        180.80000000,           .01373230,           .59585828
        181.20000000,           .01373232,           .59717655
        181.60000000,           .01373233,           .59849482
        182.00000000,           .01373235,           .59981309
        182.40000000,           .01373237,           .60113136
        182.80000000,           .01373238,           .60244963
        183.20000000,           .01373240,           .60376790
        183.60000000,           .01373241,           .60508617
        184.00000000,           .01373243,           .60640444
        184.40000000,           .01373244,           .60772271
        184.80000000,           .01373246,           .60904098
        185.20000000,           .01373247,           .61035925
        185.60000000,           .01373249,           .61167752
        186.00000000,           .01373250,           .61299579
        186.40000000,           .01373252,           .61431407
        186.80000000,           .01373253,           .61563234
        187.20000000,           .01373255,           .61695061
        187.60000000,           .01373256,           .61826888
        188.00000000,           .01373258,           .61958715
        188.40000000,           .01373259,           .62090542
        188.80000000,           .01373260,           .62222369
        189.20000000,           .01373262,           .62354196
        189.60000000,           .01373263,           .62486023
        190.00000000,           .01373265,           .62617850
        190.40000000,           .01373266,           .62749677
        190.80000000,           .01373267,           .62881504
        191.20000000,           .01373269,           .63013331
        191.60000000,           .01373270,           .63145158
        192.00000000,           .01373271,           .63276985
        192.40000000,           .01373273,           .63408812
        192.80000000,           .01373274,           .63540639
        193.20000000,           .01373275,           .63672466
        193.60000000,           .01373277,           .63804293
        194.00000000,           .01373278,           .63936121
        194.40000000,           .01373279,           .64067948
        194.80000000,           .01373281,           .64199775
        195.20000000,           .01373282,           .64331602
        195.60000000,           .01373283,           .64463429
        196.00000000,           .01373285,           .64595256
        196.40000000,           .01373286,           .64727083
        196.80000000,           .01373287,           .64858910
        197.20000000,           .01373288,           .64990737
        197.60000000,           .01373290,           .65122564
        198.00000000,           .01373291,           .65254391
        198.40000000,           .01373292,           .65386218
        198.80000000,           .01373293,           .65518045
        199.20000000,           .01373294,           .65649872
        199.60000000,           .01373296,           .65781699
        200.00000000,           .01373297,           .65913526
        200.40000000,           .01373298,           .66045353
        200.80000000,           .01373299,           .66177180
        201.20000000,           .01373300,           .66309007
        201.60000000,           .01373302,           .66440835
        202.00000000,           .01373303,           .66572662
        202.40000000,           .01373304,           .66704489
        202.80000000,           .01373305,           .66836316
        203.20000000,           .01373306,           .66968143
        203.60000000,           .01373307,           .67099970
        204.00000000,           .01373308,           .67231797
        204.40000000,           .01373309,           .67363624
        204.80000000,           .01373311,           .67495451
        205.20000000,           .01373312,           .67627278
        205.60000000,           .01373313,           .67759105
        206.00000000,           .01373314,           .67890932
        206.40000000,           .01373315,           .68022759
        206.80000000,           .01373316,           .68154586
        207.20000000,           .01373317,           .68286413
        207.60000000,           .01373318,           .68418240
        208.00000000,           .01373319,           .68550067
        208.40000000,           .01373320,           .68681894
        208.80000000,           .01373321,           .68813721
        209.20000000,           .01373322,           .68945549
        209.60000000,           .01373323,           .69077376
        210.00000000,           .01373325,           .69209203
        210.40000000,           .01373326,           .69341030
        210.80000000,           .01373327,           .69472857
        211.20000000,           .01373328,           .69604684
        211.60000000,           .01373329,           .69736511
        212.00000000,           .01373330,           .69868338
        212.40000000,           .01373331,           .70000165
        212.80000000,           .01373332,           .70131992
        213.20000000,           .01373333,           .70263819
        213.60000000,           .01373334,           .70395646
        214.00000000,           .01373335,           .70527473
        214.40000000,           .01373335,           .70659300
        214.80000000,           .01373336,           .70791127
        215.20000000,           .01373337,           .70922954
        215.60000000,           .01373338,           .71054781
        216.00000000,           .01373339,           .71186608
        216.40000000,           .01373340,           .71318435
        216.80000000,           .01373341,           .71450263
        217.20000000,           .01373342,           .71582090
        217.60000000,           .01373343,           .71713917
        218.00000000,           .01373344,           .71845744
        218.40000000,           .01373345,           .71977571
        218.80000000,           .01373346,           .72109398
        219.20000000,           .01373347,           .72241225
        219.60000000,           .01373348,           .72373052
        220.00000000,           .01373349,           .72504879
        220.40000000,           .01373349,           .72636706
        220.80000000,           .01373350,           .72768533
        221.20000000,           .01373351,           .72900360
        221.60000000,           .01373352,           .73032187
        222.00000000,           .01373353,           .73164014
        222.40000000,           .01373354,           .73295841
        222.80000000,           .01373355,           .73427668
        223.20000000,           .01373356,           .73559495
        223.60000000,           .01373356,           .73691322
        224.00000000,           .01373357,           .73823149
        224.40000000,           .01373358,           .73954977
        224.80000000,           .01373359,           .74086804
        225.20000000,           .01373360,           .74218631
        225.60000000,           .01373361,           .74350458
        226.00000000,           .01373361,           .74482285
        226.40000000,           .01373362,           .74614112
        226.80000000,           .01373363,           .74745939
        227.20000000,           .01373364,           .74877766
        227.60000000,           .01373365,           .75009593
        228.00000000,           .01373366,           .75141420
        228.40000000,           .01373366,           .75273247
        228.80000000,           .01373367,           .75405074
        229.20000000,           .01373368,           .75536901
        229.60000000,           .01373369,           .75668728
        230.00000000,           .01373369,           .75800555
        230.40000000,           .01373370,           .75932382
        230.80000000,           .01373371,           .76064209
        231.20000000,           .01373372,           .76196036
        231.60000000,           .01373373,           .76327863
        232.00000000,           .01373373,           .76459691
        232.40000000,           .01373374,           .76591518
        232.80000000,           .01373375,           .76723345
        233.20000000,           .01373376,           .76855172
        233.60000000,           .01373376,           .76986999
        234.00000000,           .01373377,           .77118826
        234.40000000,           .01373378,           .77250653
        234.80000000,           .01373379,           .77382480
        235.20000000,           .01373379,           .77514307
        235.60000000,           .01373380,           .77646134
        236.00000000,           .01373381,           .77777961
        236.40000000,           .01373382,           .77909788
        236.80000000,           .01373382,           .78041615
        237.20000000,           .01373383,           .78173442
        237.60000000,           .01373384,           .78305269
        238.00000000,           .01373384,           .78437096
        238.40000000,           .01373385,           .78568923
        238.80000000,           .01373386,           .78700750
        239.20000000,           .01373386,           .78832577
        239.60000000,           .01373387,           .78964405
        240.00000000,           .01373388,           .79096232
        240.40000000,           .01373389,           .79228059
        240.80000000,           .01373389,           .79359886
        241.20000000,           .01373390,           .79491713
