 Hz,A/m,Oe
        101.60000000,        125.93394998,          1.58253273
        102.00000000,        125.44091617,          1.57633709
        102.40000000,        124.95172460,          1.57018972
        102.80000000,        124.46633055,          1.56409008
        103.20000000,        123.98469002,          1.55803761
        103.60000000,        123.50675968,          1.55203176
        104.00000000,        123.03249685,          1.54607200
        104.40000000,        122.56185950,          1.54015779
        104.80000000,        122.09480627,          1.53428863
        105.20000000,        121.63129639,          1.52846399
        105.60000000,        121.17128972,          1.52268338
        106.00000000,        120.71474673,          1.51694629
        106.40000000,        120.26162848,          1.51125224
        106.80000000,        119.81189661,          1.50560074
        107.20000000,        119.36551331,          1.49999132
        107.60000000,        118.92244136,          1.49442351
        108.00000000,        118.48264408,          1.48889686
        108.40000000,        118.04608532,          1.48341090
        108.80000000,        117.61272948,          1.47796519
        109.20000000,        117.18254144,          1.47255929
        109.60000000,        116.75548664,          1.46719276
        110.00000000,        116.33153099,          1.46186517
        110.40000000,        115.91064090,          1.45657611
        110.80000000,        115.49278326,          1.45132516
        111.20000000,        115.07792544,          1.44611190
        111.60000000,        114.66603528,          1.44093594
        112.00000000,        114.25708107,          1.43579687
        112.40000000,        113.85103155,          1.43069430
        112.80000000,        113.44785590,          1.42562784
        113.20000000,        113.04752374,          1.42059712
        113.60000000,        112.65000511,          1.41560175
        114.00000000,        112.25527049,          1.41064137
        114.40000000,        111.86329074,          1.40571561
        114.80000000,        111.47403715,          1.40082410
        115.20000000,        111.08748138,          1.39596650
        115.60000000,        110.70359551,          1.39114245
        116.00000000,        110.32235200,          1.38635160
        116.40000000,        109.94372366,          1.38159362
        116.80000000,        109.56768371,          1.37686816
        117.20000000,        109.19420570,          1.37217490
        117.60000000,        108.82326356,          1.36751350
        118.00000000,        108.45483157,          1.36288365
        118.40000000,        108.08888434,          1.35828502
        118.80000000,        107.72539685,          1.35371730
        119.20000000,        107.36434439,          1.34918018
        119.60000000,        107.00570258,          1.34467335
        120.00000000,        106.64944739,          1.34019652
        120.40000000,        106.29555507,          1.33574938
        120.80000000,        105.94400222,          1.33133163
        121.20000000,        105.59476572,          1.32694300
        121.60000000,        105.24782278,          1.32258318
        122.00000000,        104.90315088,          1.31825191
        122.40000000,        104.56072781,          1.31394889
        122.80000000,        104.22053165,          1.30967386
        123.20000000,        103.88254075,          1.30542654
        123.60000000,        103.54673376,          1.30120667
        124.00000000,        103.21308958,          1.29701397
        124.40000000,        102.88158741,          1.29284819
        124.80000000,        102.55220669,          1.28870907
        125.20000000,        102.22492713,          1.28459636
        125.60000000,        101.89972870,          1.28050979
        126.00000000,        101.57659163,          1.27644913
        126.40000000,        101.25549639,          1.27241413
        126.80000000,        100.93642370,          1.26840454
        127.20000000,        100.61935451,          1.26442013
        127.60000000,        100.30427003,          1.26046067
        128.00000000,         99.99115169,          1.25652591
        128.40000000,         99.67998115,          1.25261562
        128.80000000,         99.37074031,          1.24872959
        129.20000000,         99.06341128,          1.24486758
        129.60000000,         98.75797639,          1.24102937
        130.00000000,         98.45441820,          1.23721474
        130.40000000,         98.15271946,          1.23342348
        130.80000000,         97.85286316,          1.22965538
        131.20000000,         97.55483249,          1.22591021
        131.60000000,         97.25861081,          1.22218778
        132.00000000,         96.96418173,          1.21848788
        132.40000000,         96.67152903,          1.21481030
        132.80000000,         96.38063668,          1.21115483
        133.20000000,         96.09148887,          1.20752130
        133.60000000,         95.80406994,          1.20390948
        134.00000000,         95.51836446,          1.20031920
        134.40000000,         95.23435714,          1.19675026
        134.80000000,         94.95203291,          1.19320247
        135.20000000,         94.67137685,          1.18967564
        135.60000000,         94.39237422,          1.18616959
        136.00000000,         94.11501047,          1.18268413
        136.40000000,         93.83927120,          1.17921909
        136.80000000,         93.56514220,          1.17577429
        137.20000000,         93.29260940,          1.17234954
        137.60000000,         93.02165890,          1.16894467
        138.00000000,         92.75227698,          1.16555952
        138.40000000,         92.48445006,          1.16219391
        138.80000000,         92.21816471,          1.15884767
        139.20000000,         91.95340768,          1.15552063
        139.60000000,         91.69016585,          1.15221264
        140.00000000,         91.42842626,          1.14892352
        140.40000000,         91.16817608,          1.14565312
        140.80000000,         90.90940265,          1.14240128
        141.20000000,         90.65209344,          1.13916783
        141.60000000,         90.39623606,          1.13595264
        142.00000000,         90.14181827,          1.13275553
        142.40000000,         89.88882794,          1.12957636
        142.80000000,         89.63725312,          1.12641497
        143.20000000,         89.38708195,          1.12327123
        143.60000000,         89.13830273,          1.12014498
        144.00000000,         88.89090387,          1.11703607
        144.40000000,         88.64487393,          1.11394437
        144.80000000,         88.40020158,          1.11086973
        145.20000000,         88.15687562,          1.10781200
        145.60000000,         87.91488497,          1.10477106
        146.00000000,         87.67421866,          1.10174676
        146.40000000,         87.43486588,          1.09873896
        146.80000000,         87.19681588,          1.09574754
        147.20000000,         86.96005808,          1.09277235
        147.60000000,         86.72458198,          1.08981327
        148.00000000,         86.49037721,          1.08687016
        148.40000000,         86.25743350,          1.08394291
        148.80000000,         86.02574070,          1.08103137
        149.20000000,         85.79528876,          1.07813543
        149.60000000,         85.56606775,          1.07525495
        150.00000000,         85.33806783,          1.07238982
        150.40000000,         85.11127928,          1.06953991
        150.80000000,         84.88569247,          1.06670510
        151.20000000,         84.66129788,          1.06388528
        151.60000000,         84.43808608,          1.06108031
        152.00000000,         84.21604775,          1.05829010
        152.40000000,         83.99517367,          1.05551451
        152.80000000,         83.77545471,          1.05275344
        153.20000000,         83.55688182,          1.05000677
        153.60000000,         83.33944608,          1.04727440
        154.00000000,         83.12313863,          1.04455620
        154.40000000,         82.90795072,          1.04185206
