 Hz,vind,vres
         55.80000000,          2.77800682,          7.68791183
         56.00000000,          2.77930088,          7.71546707
         56.20000000,          2.78058292,          7.74302231
         56.40000000,          2.78185310,          7.77057755
         56.60000000,          2.78311155,          7.79813279
         56.80000000,          2.78435841,          7.82568803
         57.00000000,          2.78559382,          7.85324327
         57.20000000,          2.78681792,          7.88079851
         57.40000000,          2.78803083,          7.90835375
         57.60000000,          2.78923269,          7.93590899
         57.80000000,          2.79042363,          7.96346422
         58.00000000,          2.79160377,          7.99101946
         58.20000000,          2.79277324,          8.01857470
         58.40000000,          2.79393217,          8.04612994
         58.60000000,          2.79508067,          8.07368518
         58.80000000,          2.79621887,          8.10124042
         59.00000000,          2.79734689,          8.12879566
         59.20000000,          2.79846483,          8.15635090
         59.40000000,          2.79957283,          8.18390614
         59.60000000,          2.80067098,          8.21146138
         59.80000000,          2.80175941,          8.23901662
         60.00000000,          2.80283823,          8.26657186
         60.20000000,          2.80390754,          8.29412710
         60.40000000,          2.80496745,          8.32168234
         60.60000000,          2.80601807,          8.34923758
         60.80000000,          2.80705950,          8.37679282
         61.00000000,          2.80809185,          8.40434806
         61.20000000,          2.80911521,          8.43190330
         61.40000000,          2.81012970,          8.45945854
         61.60000000,          2.81113541,          8.48701378
         61.80000000,          2.81213243,          8.51456902
         62.00000000,          2.81312086,          8.54212425
         62.20000000,          2.81410081,          8.56967949
         62.40000000,          2.81507235,          8.59723473
         62.60000000,          2.81603559,          8.62478997
         62.80000000,          2.81699062,          8.65234521
         63.00000000,          2.81793753,          8.67990045
         63.20000000,          2.81887640,          8.70745569
         63.40000000,          2.81980733,          8.73501093
         63.60000000,          2.82073040,          8.76256617
         63.80000000,          2.82164569,          8.79012141
         64.00000000,          2.82255330,          8.81767665
         64.20000000,          2.82345330,          8.84523189
         64.40000000,          2.82434578,          8.87278713
         64.60000000,          2.82523082,          8.90034237
         64.80000000,          2.82610850,          8.92789761
         65.00000000,          2.82697890,          8.95545285
         65.20000000,          2.82784209,          8.98300809
         65.40000000,          2.82869815,          9.01056333
         65.60000000,          2.82954717,          9.03811857
         65.80000000,          2.83038921,          9.06567381
         66.00000000,          2.83122434,          9.09322905
         66.20000000,          2.83205265,          9.12078429
         66.40000000,          2.83287421,          9.14833952
         66.60000000,          2.83368908,          9.17589476
         66.80000000,          2.83449733,          9.20345000
         67.00000000,          2.83529904,          9.23100524
         67.20000000,          2.83609428,          9.25856048
         67.40000000,          2.83688310,          9.28611572
         67.60000000,          2.83766559,          9.31367096
         67.80000000,          2.83844180,          9.34122620
         68.00000000,          2.83921180,          9.36878144
         68.20000000,          2.83997565,          9.39633668
         68.40000000,          2.84073343,          9.42389192
         68.60000000,          2.84148518,          9.45144716
         68.80000000,          2.84223098,          9.47900240
         69.00000000,          2.84297088,          9.50655764
         69.20000000,          2.84370494,          9.53411288
         69.40000000,          2.84443323,          9.56166812
         69.60000000,          2.84515580,          9.58922336
         69.80000000,          2.84587272,          9.61677860
         70.00000000,          2.84658403,          9.64433384
         70.20000000,          2.84728980,          9.67188908
         70.40000000,          2.84799008,          9.69944432
         70.60000000,          2.84868493,          9.72699955
         70.80000000,          2.84937440,          9.75455479
         71.00000000,          2.85005855,          9.78211003
         71.20000000,          2.85073743,          9.80966527
         71.40000000,          2.85141109,          9.83722051
         71.60000000,          2.85207958,          9.86477575
         71.80000000,          2.85274296,          9.89233099
         72.00000000,          2.85340128,          9.91988623
         72.20000000,          2.85405458,          9.94744147
         72.40000000,          2.85470292,          9.97499671
         72.60000000,          2.85534635,         10.00255195
         72.80000000,          2.85598491,         10.03010719
         73.00000000,          2.85661865,         10.05766243
         73.20000000,          2.85724762,         10.08521767
         73.40000000,          2.85787187,         10.11277291
         73.60000000,          2.85849144,         10.14032815
         73.80000000,          2.85910638,         10.16788339
         74.00000000,          2.85971673,         10.19543863
         74.20000000,          2.86032254,         10.22299387
         74.40000000,          2.86092385,         10.25054911
         74.60000000,          2.86152071,         10.27810435
         74.80000000,          2.86211315,         10.30565958
         75.00000000,          2.86270122,         10.33321482
         75.20000000,          2.86328497,         10.36077006
         75.40000000,          2.86386443,         10.38832530
         75.60000000,          2.86443965,         10.41588054
         75.80000000,          2.86501066,         10.44343578
         76.00000000,          2.86557750,         10.47099102
         76.20000000,          2.86614022,         10.49854626
         76.40000000,          2.86669886,         10.52610150
         76.60000000,          2.86725345,         10.55365674
         76.80000000,          2.86780403,         10.58121198
         77.00000000,          2.86835064,         10.60876722
         77.20000000,          2.86889331,         10.63632246
         77.40000000,          2.86943209,         10.66387770
         77.60000000,          2.86996701,         10.69143294
         77.80000000,          2.87049810,         10.71898818
         78.00000000,          2.87102541,         10.74654342
         78.20000000,          2.87154896,         10.77409866
         78.40000000,          2.87206879,         10.80165390
         78.60000000,          2.87258494,         10.82920914
         78.80000000,          2.87309744,         10.85676438
         79.00000000,          2.87360633,         10.88431962
         79.20000000,          2.87411163,         10.91187485
         79.40000000,          2.87461338,         10.93943009
         79.60000000,          2.87511161,         10.96698533
         79.80000000,          2.87560636,         10.99454057
         80.00000000,          2.87609765,         11.02209581
         80.20000000,          2.87658553,         11.04965105
         80.40000000,          2.87707001,         11.07720629
         80.60000000,          2.87755113,         11.10476153
         80.80000000,          2.87802892,         11.13231677
         81.00000000,          2.87850342,         11.15987201
         81.20000000,          2.87897464,         11.18742725
         81.40000000,          2.87944263,         11.21498249
         81.60000000,          2.87990740,         11.24253773
         81.80000000,          2.88036899,         11.27009297
         82.00000000,          2.88082742,         11.29764821
         82.20000000,          2.88128274,         11.32520345
         82.40000000,          2.88173495,         11.35275869
         82.60000000,          2.88218409,         11.38031393
         82.80000000,          2.88263019,         11.40786917
         83.00000000,          2.88307328,         11.43542441
         83.20000000,          2.88351337,         11.46297965
         83.40000000,          2.88395050,         11.49053488
         83.60000000,          2.88438470,         11.51809012
         83.80000000,          2.88481598,         11.54564536
         84.00000000,          2.88524438,         11.57320060
         84.20000000,          2.88566992,         11.60075584
         84.40000000,          2.88609262,         11.62831108
         84.60000000,          2.88651251,         11.65586632
         84.80000000,          2.88692962,         11.68342156
         85.00000000,          2.88734397,         11.71097680
         85.20000000,          2.88775557,         11.73853204
         85.40000000,          2.88816447,         11.76608728
         85.60000000,          2.88857067,         11.79364252
         85.80000000,          2.88897420,         11.82119776
         86.00000000,          2.88937509,         11.84875300
         86.20000000,          2.88977336,         11.87630824
         86.40000000,          2.89016903,         11.90386348
         86.60000000,          2.89056212,         11.93141872
         86.80000000,          2.89095265,         11.95897396
         87.00000000,          2.89134065,         11.98652920
         87.20000000,          2.89172614,         12.01408444
         87.40000000,          2.89210914,         12.04163968
         87.60000000,          2.89248967,         12.06919492
         87.80000000,          2.89286775,         12.09675015
         88.00000000,          2.89324341,         12.12430539
         88.20000000,          2.89361665,         12.15186063
         88.40000000,          2.89398751,         12.17941587
         88.60000000,          2.89435600,         12.20697111
         88.80000000,          2.89472214,         12.23452635
         89.00000000,          2.89508596,         12.26208159
         89.20000000,          2.89544746,         12.28963683
         89.40000000,          2.89580668,         12.31719207
         89.60000000,          2.89616362,         12.34474731
         89.80000000,          2.89651832,         12.37230255
         90.00000000,          2.89687078,         12.39985779
         90.20000000,          2.89722103,         12.42741303
         90.40000000,          2.89756908,         12.45496827
         90.60000000,          2.89791495,         12.48252351
         90.80000000,          2.89825866,         12.51007875
         91.00000000,          2.89860023,         12.53763399
         91.20000000,          2.89893968,         12.56518923
         91.40000000,          2.89927701,         12.59274447
         91.60000000,          2.89961226,         12.62029971
         91.80000000,          2.89994543,         12.64785495
         92.00000000,          2.90027655,         12.67541018
         92.20000000,          2.90060562,         12.70296542
         92.40000000,          2.90093268,         12.73052066
         92.60000000,          2.90125772,         12.75807590
         92.80000000,          2.90158077,         12.78563114
         93.00000000,          2.90190185,         12.81318638
         93.20000000,          2.90222097,         12.84074162
         93.40000000,          2.90253815,         12.86829686
         93.60000000,          2.90285340,         12.89585210
         93.80000000,          2.90316673,         12.92340734
         94.00000000,          2.90347817,         12.95096258
         94.20000000,          2.90378773,         12.97851782
         94.40000000,          2.90409541,         13.00607306
         94.60000000,          2.90440125,         13.03362830
         94.80000000,          2.90470525,         13.06118354
         95.00000000,          2.90500742,         13.08873878
         95.20000000,          2.90530779,         13.11629402
         95.40000000,          2.90560636,         13.14384926
         95.60000000,          2.90590315,         13.17140450
         95.80000000,          2.90619817,         13.19895974
         96.00000000,          2.90649144,         13.22651498
         96.20000000,          2.90678297,         13.25407021
         96.40000000,          2.90707278,         13.28162545
         96.60000000,          2.90736087,         13.30918069
         96.80000000,          2.90764727,         13.33673593
