 Hz,A
        346.00000000,           .74851569
        347.00000000,           .74636694
        348.00000000,           .74423047
        349.00000000,           .74210617
        350.00000000,           .73999394
        351.00000000,           .73789368
        352.00000000,           .73580528
        353.00000000,           .73372865
        354.00000000,           .73166369
        355.00000000,           .72961029
        356.00000000,           .72756837
        357.00000000,           .72553782
        358.00000000,           .72351856
        359.00000000,           .72151048
        360.00000000,           .71951350
        361.00000000,           .71752753
        362.00000000,           .71555246
        363.00000000,           .71358823
        364.00000000,           .71163472
        365.00000000,           .70969187
        366.00000000,           .70775957
        367.00000000,           .70583775
        368.00000000,           .70392633
        369.00000000,           .70202520
        370.00000000,           .70013431
        371.00000000,           .69825355
        372.00000000,           .69638285
        373.00000000,           .69452214
        374.00000000,           .69267132
        375.00000000,           .69083033
        376.00000000,           .68899908
        377.00000000,           .68717750
        378.00000000,           .68536550
        379.00000000,           .68356303
        380.00000000,           .68176999
        381.00000000,           .67998632
        382.00000000,           .67821195
        383.00000000,           .67644679
        384.00000000,           .67469079
        385.00000000,           .67294386
        386.00000000,           .67120595
        387.00000000,           .66947697
        388.00000000,           .66775686
        389.00000000,           .66604556
        390.00000000,           .66434299
        391.00000000,           .66264909
        392.00000000,           .66096380
        393.00000000,           .65928704
        394.00000000,           .65761875
        395.00000000,           .65595888
        396.00000000,           .65430734
        397.00000000,           .65266410
        398.00000000,           .65102907
        399.00000000,           .64940220
        400.00000000,           .64778343
        401.00000000,           .64617270
        402.00000000,           .64456995
        403.00000000,           .64297512
        404.00000000,           .64138815
        405.00000000,           .63980898
        406.00000000,           .63823756
        407.00000000,           .63667383
        408.00000000,           .63511773
        409.00000000,           .63356921
        410.00000000,           .63202821
        411.00000000,           .63049468
        412.00000000,           .62896856
        413.00000000,           .62744981
        414.00000000,           .62593836
        415.00000000,           .62443416
        416.00000000,           .62293717
        417.00000000,           .62144732
        418.00000000,           .61996458
        419.00000000,           .61848889
        420.00000000,           .61702019
        421.00000000,           .61555845
        422.00000000,           .61410360
        423.00000000,           .61265561
        424.00000000,           .61121442
        425.00000000,           .60977999
        426.00000000,           .60835226
        427.00000000,           .60693120
        428.00000000,           .60551675
        429.00000000,           .60410887
        430.00000000,           .60270751
        431.00000000,           .60131263
        432.00000000,           .59992419
        433.00000000,           .59854213
        434.00000000,           .59716642
        435.00000000,           .59579702
        436.00000000,           .59443387
        437.00000000,           .59307693
        438.00000000,           .59172617
        439.00000000,           .59038154
        440.00000000,           .58904300
        441.00000000,           .58771051
        442.00000000,           .58638403
        443.00000000,           .58506351
        444.00000000,           .58374892
        445.00000000,           .58244022
        446.00000000,           .58113737
        447.00000000,           .57984032
        448.00000000,           .57854905
        449.00000000,           .57726351
        450.00000000,           .57598366
        451.00000000,           .57470946
        452.00000000,           .57344089
        453.00000000,           .57217790
        454.00000000,           .57092045
        455.00000000,           .56966851
        456.00000000,           .56842204
        457.00000000,           .56718101
        458.00000000,           .56594538
        459.00000000,           .56471512
        460.00000000,           .56349019
        461.00000000,           .56227055
        462.00000000,           .56105618
        463.00000000,           .55984704
        464.00000000,           .55864309
        465.00000000,           .55744430
        466.00000000,           .55625064
        467.00000000,           .55506208
        468.00000000,           .55387858
        469.00000000,           .55270011
        470.00000000,           .55152664
        471.00000000,           .55035813
        472.00000000,           .54919456
        473.00000000,           .54803590
        474.00000000,           .54688211
        475.00000000,           .54573316
        476.00000000,           .54458903
        477.00000000,           .54344968
