 Hertz,Ohm
         83.00000000,          9.91600222
         84.00000000,         10.02792058
         85.00000000,         10.13992179
         86.00000000,         10.25200314
         87.00000000,         10.36416202
         88.00000000,         10.47639594
         89.00000000,         10.58870253
         90.00000000,         10.70107948
         91.00000000,         10.81352462
         92.00000000,         10.92603582
         93.00000000,         11.03861108
         94.00000000,         11.15124845
         95.00000000,         11.26394607
         96.00000000,         11.37670215
         97.00000000,         11.48951496
         98.00000000,         11.60238286
         99.00000000,         11.71530425
        100.00000000,         11.82827759
        101.00000000,         11.94130142
        102.00000000,         12.05437431
        103.00000000,         12.16749490
        104.00000000,         12.28066187
        105.00000000,         12.39387394
        106.00000000,         12.50712990
        107.00000000,         12.62042855
        108.00000000,         12.73376877
        109.00000000,         12.84714945
        110.00000000,         12.96056953
        111.00000000,         13.07402798
        112.00000000,         13.18752381
        113.00000000,         13.30105608
        114.00000000,         13.41462384
        115.00000000,         13.52822621
        116.00000000,         13.64186232
        117.00000000,         13.75553135
        118.00000000,         13.86923246
        119.00000000,         13.98296490
        120.00000000,         14.09672789
        121.00000000,         14.21052070
        122.00000000,         14.32434262
        123.00000000,         14.43819297
        124.00000000,         14.55207108
        125.00000000,         14.66597629
        126.00000000,         14.77990799
        127.00000000,         14.89386556
        128.00000000,         15.00784842
        129.00000000,         15.12185599
        130.00000000,         15.23588773
        131.00000000,         15.34994308
        132.00000000,         15.46402153
        133.00000000,         15.57812257
        134.00000000,         15.69224571
        135.00000000,         15.80639047
        136.00000000,         15.92055639
        137.00000000,         16.03474300
        138.00000000,         16.14894988
        139.00000000,         16.26317660
        140.00000000,         16.37742274
        141.00000000,         16.49168789
        142.00000000,         16.60597167
        143.00000000,         16.72027370
        144.00000000,         16.83459359
        145.00000000,         16.94893100
        146.00000000,         17.06328556
        147.00000000,         17.17765694
        148.00000000,         17.29204480
        149.00000000,         17.40644882
        150.00000000,         17.52086868
        151.00000000,         17.63530407
        152.00000000,         17.74975469
        153.00000000,         17.86422025
        154.00000000,         17.97870046
        155.00000000,         18.09319505
        156.00000000,         18.20770375
        157.00000000,         18.32222628
        158.00000000,         18.43676239
        159.00000000,         18.55131184
        160.00000000,         18.66587437
        161.00000000,         18.78044975
        162.00000000,         18.89503773
        163.00000000,         19.00963810
        164.00000000,         19.12425063
        165.00000000,         19.23887511
        166.00000000,         19.35351132
        167.00000000,         19.46815905
        168.00000000,         19.58281810
        169.00000000,         19.69748828
        170.00000000,         19.81216939
        171.00000000,         19.92686124
        172.00000000,         20.04156364
        173.00000000,         20.15627643
        174.00000000,         20.27099942
        175.00000000,         20.38573243
        176.00000000,         20.50047531
        177.00000000,         20.61522788
        178.00000000,         20.72998999
        179.00000000,         20.84476147
        180.00000000,         20.95954218
        181.00000000,         21.07433196
        182.00000000,         21.18913067
        183.00000000,         21.30393816
        184.00000000,         21.41875429
        185.00000000,         21.53357892
        186.00000000,         21.64841191
        187.00000000,         21.76325314
        188.00000000,         21.87810248
        189.00000000,         21.99295979
        190.00000000,         22.10782496
        191.00000000,         22.22269785
        192.00000000,         22.33757836
        193.00000000,         22.45246636
        194.00000000,         22.56736175
        195.00000000,         22.68226440
        196.00000000,         22.79717421
        197.00000000,         22.91209107
        198.00000000,         23.02701488
        199.00000000,         23.14194553
        200.00000000,         23.25688292
        201.00000000,         23.37182695
        202.00000000,         23.48677752
        203.00000000,         23.60173455
        204.00000000,         23.71669792
        205.00000000,         23.83166756
        206.00000000,         23.94664337
        207.00000000,         24.06162526
        208.00000000,         24.17661315
        209.00000000,         24.29160695
        210.00000000,         24.40660658
        211.00000000,         24.52161196
        212.00000000,         24.63662300
        213.00000000,         24.75163963
        214.00000000,         24.86666176
        215.00000000,         24.98168933
        216.00000000,         25.09672226
        217.00000000,         25.21176047
        218.00000000,         25.32680390
        219.00000000,         25.44185247
        220.00000000,         25.55690611
        221.00000000,         25.67196475
        222.00000000,         25.78702833
        223.00000000,         25.90209679
        224.00000000,         26.01717005
        225.00000000,         26.13224805
        226.00000000,         26.24733074
