 Hertz,Farad,V across C
        217.95660000,           .00002898,        302.37716762
        218.95640000,           .00002871,        303.76421758
        219.95620000,           .00002845,        305.15126753
        220.95600000,           .00002820,        306.53831749
        221.95580000,           .00002794,        307.92536744
        222.95560000,           .00002769,        309.31241740
        223.95540000,           .00002745,        310.69946735
        224.95520000,           .00002720,        312.08651730
        225.95500000,           .00002696,        313.47356726
        226.95480000,           .00002673,        314.86061721
        227.95460000,           .00002649,        316.24766717
        228.95440000,           .00002626,        317.63471712
        229.95420000,           .00002603,        319.02176708
        230.95400000,           .00002581,        320.40881703
        231.95380000,           .00002559,        321.79586699
        232.95360000,           .00002537,        323.18291694
        233.95340000,           .00002515,        324.56996690
        234.95320000,           .00002494,        325.95701685
        235.95300000,           .00002473,        327.34406681
        236.95280000,           .00002452,        328.73111676
        237.95260000,           .00002431,        330.11816672
        238.95240000,           .00002411,        331.50521667
        239.95220000,           .00002391,        332.89226663
        240.95200000,           .00002371,        334.27931658
        241.95180000,           .00002352,        335.66636654
        242.95160000,           .00002332,        337.05341649
        243.95140000,           .00002313,        338.44046645
        244.95120000,           .00002294,        339.82751640
        245.95100000,           .00002276,        341.21456636
        246.95080000,           .00002257,        342.60161631
        247.95060000,           .00002239,        343.98866627
        248.95040000,           .00002221,        345.37571622
        249.95020000,           .00002204,        346.76276618
        250.95000000,           .00002186,        348.14981613
        251.94980000,           .00002169,        349.53686609
        252.94960000,           .00002152,        350.92391604
        253.94940000,           .00002135,        352.31096600
        254.94920000,           .00002118,        353.69801595
        255.94900000,           .00002101,        355.08506590
        256.94880000,           .00002085,        356.47211586
        257.94860000,           .00002069,        357.85916581
        258.94840000,           .00002053,        359.24621577
        259.94820000,           .00002037,        360.63326572
        260.94800000,           .00002022,        362.02031568
        261.94780000,           .00002006,        363.40736563
        262.94760000,           .00001991,        364.79441559
        263.94740000,           .00001976,        366.18146554
        264.94720000,           .00001961,        367.56851550
        265.94700000,           .00001946,        368.95556545
        266.94680000,           .00001932,        370.34261541
        267.94660000,           .00001917,        371.72966536
        268.94640000,           .00001903,        373.11671532
        269.94620000,           .00001889,        374.50376527
        270.94600000,           .00001875,        375.89081523
        271.94580000,           .00001861,        377.27786518
        272.94560000,           .00001848,        378.66491514
        273.94540000,           .00001834,        380.05196509
        274.94520000,           .00001821,        381.43901505
        275.94500000,           .00001808,        382.82606500
        276.94480000,           .00001795,        384.21311496
        277.94460000,           .00001782,        385.60016491
        278.94440000,           .00001769,        386.98721487
        279.94420000,           .00001757,        388.37426482
        280.94400000,           .00001744,        389.76131478
        281.94380000,           .00001732,        391.14836473
        282.94360000,           .00001720,        392.53541469
        283.94340000,           .00001707,        393.92246464
        284.94320000,           .00001696,        395.30951460
        285.94300000,           .00001684,        396.69656455
        286.94280000,           .00001672,        398.08361451
        287.94260000,           .00001660,        399.47066446
        288.94240000,           .00001649,        400.85771441
        289.94220000,           .00001638,        402.24476437
        290.94200000,           .00001626,        403.63181432
        291.94180000,           .00001615,        405.01886428
        292.94160000,           .00001604,        406.40591423
        293.94140000,           .00001593,        407.79296419
        294.94120000,           .00001583,        409.18001414
        295.94100000,           .00001572,        410.56706410
        296.94080000,           .00001561,        411.95411405
        297.94060000,           .00001551,        413.34116401
        298.94040000,           .00001540,        414.72821396
        299.94020000,           .00001530,        416.11526392
        300.94000000,           .00001520,        417.50231387
        301.93980000,           .00001510,        418.88936383
        302.93960000,           .00001500,        420.27641378
        303.93940000,           .00001490,        421.66346374
        304.93920000,           .00001480,        423.05051369
        305.93900000,           .00001471,        424.43756365
        306.93880000,           .00001461,        425.82461360
        307.93860000,           .00001452,        427.21166356
        308.93840000,           .00001442,        428.59871351
        309.93820000,           .00001433,        429.98576347
        310.93800000,           .00001424,        431.37281342
        311.93780000,           .00001415,        432.75986338
        312.93760000,           .00001406,        434.14691333
        313.93740000,           .00001397,        435.53396329
        314.93720000,           .00001388,        436.92101324
        315.93700000,           .00001379,        438.30806320
        316.93680000,           .00001370,        439.69511315
        317.93660000,           .00001362,        441.08216311
        318.93640000,           .00001353,        442.46921306
        319.93620000,           .00001345,        443.85626301
        320.93600000,           .00001337,        445.24331297
        321.93580000,           .00001328,        446.63036292
        322.93560000,           .00001320,        448.01741288
        323.93540000,           .00001312,        449.40446283
        324.93520000,           .00001304,        450.79151279
        325.93500000,           .00001296,        452.17856274
        326.93480000,           .00001288,        453.56561270
        327.93460000,           .00001280,        454.95266265
        328.93440000,           .00001272,        456.33971261
        329.93420000,           .00001265,        457.72676256
        330.93400000,           .00001257,        459.11381252
        331.93380000,           .00001249,        460.50086247
        332.93360000,           .00001242,        461.88791243
        333.93340000,           .00001235,        463.27496238
        334.93320000,           .00001227,        464.66201234
        335.93300000,           .00001220,        466.04906229
        336.93280000,           .00001213,        467.43611225
        337.93260000,           .00001205,        468.82316220
        338.93240000,           .00001198,        470.21021216
        339.93220000,           .00001191,        471.59726211
        340.93200000,           .00001184,        472.98431207
        341.93180000,           .00001177,        474.37136202
        342.93160000,           .00001171,        475.75841198
        343.93140000,           .00001164,        477.14546193
        344.93120000,           .00001157,        478.53251189
        345.93100000,           .00001150,        479.91956184
        346.93080000,           .00001144,        481.30661180
        347.93060000,           .00001137,        482.69366175
        348.93040000,           .00001131,        484.08071171
        349.93020000,           .00001124,        485.46776166
        350.93000000,           .00001118,        486.85481161
        351.92980000,           .00001112,        488.24186157
        352.92960000,           .00001105,        489.62891152
        353.92940000,           .00001099,        491.01596148
        354.92920000,           .00001093,        492.40301143
        355.92900000,           .00001087,        493.79006139
        356.92880000,           .00001081,        495.17711134
        357.92860000,           .00001075,        496.56416130
        358.92840000,           .00001069,        497.95121125
        359.92820000,           .00001063,        499.33826121
        360.92800000,           .00001057,        500.72531116
        361.92780000,           .00001051,        502.11236112
        362.92760000,           .00001045,        503.49941107
        363.92740000,           .00001039,        504.88646103
        364.92720000,           .00001034,        506.27351098
        365.92700000,           .00001028,        507.66056094
        366.92680000,           .00001023,        509.04761089
        367.92660000,           .00001017,        510.43466085
        368.92640000,           .00001011,        511.82171080
        369.92620000,           .00001006,        513.20876076
