 Hz,A/m,Oe
         76.00000000,       5488.01179791,         68.96439211
         77.00000000,       5421.98091362,         68.13462352
         78.00000000,       5357.45957709,         67.32382447
         79.00000000,       5294.39877708,         66.53137906
         80.00000000,       5232.75149650,         65.75669647
         81.00000000,       5172.47261843,         64.99920972
         82.00000000,       5113.51883693,         64.25837464
         83.00000000,       5055.84857239,         63.53366870
         84.00000000,       4999.42189126,         62.82459009
         85.00000000,       4944.20042975,         62.13065672
         86.00000000,       4890.14732150,         61.45140531
         87.00000000,       4837.22712889,         60.78639054
         88.00000000,       4785.40577790,         60.13518422
         89.00000000,       4734.65049617,         59.49737452
         90.00000000,       4684.92975427,         58.87256523
         91.00000000,       4636.21320995,         58.26037506
         92.00000000,       4588.47165509,         57.66043698
         93.00000000,       4541.67696543,         57.07239755
         94.00000000,       4495.80205275,         56.49591638
         95.00000000,       4450.82081942,         55.93066551
         96.00000000,       4406.70811526,         55.37632891
         97.00000000,       4363.43969645,         54.83260190
         98.00000000,       4320.99218654,         54.29919075
         99.00000000,       4279.34303934,         53.77581211
        100.00000000,       4238.47050358,         53.26219267
        101.00000000,       4198.35358934,         52.75806864
        102.00000000,       4158.97203610,         52.26318543
        103.00000000,       4120.30628226,         51.77729723
        104.00000000,       4082.33743618,         51.30016662
        105.00000000,       4045.04724859,         50.83156429
        106.00000000,       4008.41808627,         50.37126865
        107.00000000,       3972.43290702,         49.91906554
        108.00000000,       3937.07523575,         49.47474793
        109.00000000,       3902.32914173,         49.03811562
        110.00000000,       3868.17921682,         48.60897499
        111.00000000,       3834.61055482,         48.18713873
        112.00000000,       3801.60873166,         47.77242558
        113.00000000,       3769.15978655,         47.36466010
        114.00000000,       3737.25020392,         46.96367245
        115.00000000,       3705.86689628,         46.56929816
        116.00000000,       3674.99718775,         46.18137795
        117.00000000,       3644.62879837,         45.79975751
        118.00000000,       3614.74982908,         45.42428729
        119.00000000,       3585.34874739,         45.05482240
        120.00000000,       3556.41437367,         44.69122232
        121.00000000,       3527.93586800,         44.33335085
        122.00000000,       3499.90271763,         43.98107589
        123.00000000,       3472.30472500,         43.63426927
        124.00000000,       3445.13199620,         43.29280668
        125.00000000,       3418.37492995,         42.95656746
        126.00000000,       3392.02420712,         42.62543451
        127.00000000,       3366.07078056,         42.29929412
        128.00000000,       3340.50586546,         41.97803591
        129.00000000,       3315.32093007,         41.66155267
        130.00000000,       3290.50768678,         41.34974025
        131.00000000,       3266.05808365,         41.04249747
        132.00000000,       3241.96429616,         40.73972600
        133.00000000,       3218.21871942,         40.44133027
        134.00000000,       3194.81396060,         40.14721739
        135.00000000,       3171.74283173,         39.85729703
        136.00000000,       3148.99834275,         39.57148134
        137.00000000,       3126.57369485,         39.28968490
        138.00000000,       3104.46227405,         39.01182458
        139.00000000,       3082.65764509,         38.73781952
        140.00000000,       3061.15354549,         38.46759103
        141.00000000,       3039.94387986,         38.20106250
        142.00000000,       3019.02271448,         37.93815938
        143.00000000,       2998.38427202,         37.67880905
        144.00000000,       2978.02292648,         37.42294083
        145.00000000,       2957.93319837,         37.17048586
        146.00000000,       2938.10974999,         36.92137705
        147.00000000,       2918.54738096,         36.67554907
        148.00000000,       2899.24102387,         36.43293822
        149.00000000,       2880.18574012,         36.19348246
        150.00000000,       2861.37671590,         35.95712128
        151.00000000,       2842.80925831,         35.72379572
        152.00000000,       2824.47879165,         35.49344828
        153.00000000,       2806.38085381,         35.26602288
        154.00000000,       2788.51109281,         35.04146483
        155.00000000,       2770.86526348,         34.81972079
        156.00000000,       2753.43922419,         34.60073872
        157.00000000,       2736.22893382,         34.38446782
        158.00000000,       2719.23044868,         34.17085855
        159.00000000,       2702.43991970,         33.95986254
        160.00000000,       2685.85358958,         33.75143256
        161.00000000,       2669.46779014,         33.54552253
